,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
370,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
371,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
372,5,2,1,2,1,3,2,1,1,1
373,3,2,2,2,1,2,2,1,1,1
374,3,1,1,2,1,2,2,3,1,1
375,4,2,1,2,1,9,9,9,9,9
376,6,2,1,2,1,2,2,1,1,1
377,5,1,1,2,1,1,3,3,1,1
378,4,2,1,2,1,1,2,1,1,1
379,4,1,2,2,1,9,9,9,9,9
380,12,2,1,2,1,2,2,1,1,1
381,4,1,1,2,1,2,2,1,1,1
382,7,2,1,2,1,2,2,1,1,1
383,4,2,1,2,1,2,1,1,1,1
384,3,2,1,2,1,2,2,3,1,1
385,4,1,1,1,1,3,2,1,1,1
386,4,1,1,2,1,2,2,1,2,2
387,4,2,1,2,1,2,2,2,1,1
388,3,1,1,2,1,2,2,2,1,1
389,3,2,1,2,1,2,3,3,1,1
390,6,1,1,2,1,2,2,1,1,1
391,4,1,1,2,1,2,2,3,1,1
392,5,1,1,2,1,2,2,1,1,1
393,4,1,1,2,1,1,2,1,2,1
394,7,2,1,2,1,2,2,3,3,1
395,4,2,1,2,1,2,2,2,1,1
396,7,1,1,2,1,3,2,1,1,1
397,8,2,1,2,1,2,2,1,1,1
398,4,1,1,2,1,2,2,3,1,1
399,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
400,4,1,1,2,1,2,2,1,2,1
401,5,1,1,2,1,1,1,1,2,1
402,5,1,1,2,1,1,2,1,1,1
403,5,1,1,2,1,2,2,1,1,1
404,7,2,1,2,1,2,2,1,1,1
405,6,2,1,2,1,2,1,2,2,2
406,12,2,1,2,1,2,2,3,1,1
407,7,1,1,2,1,2,2,1,1,1
408,7,2,1,2,1,2,1,1,1,3
409,4,2,2,2,1,1,2,2,1,1
410,9,2,1,2,1,2,2,1,1,1
411,9,2,1,2,1,2,2,1,1,1
412,2,2,2,2,1,2,2,3,1,1
413,4,2,2,2,1,2,2,1,1,1
414,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
415,5,2,1,2,1,1,2,2,1,1
416,6,2,1,2,1,1,2,2,1,1
417,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
418,7,1,1,2,1,1,1,1,2,3
419,3,1,2,2,1,2,2,1,1,1
420,7,2,1,2,1,2,2,3,1,1
421,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
422,5,2,1,2,1,1,3,1,1,1
423,4,2,2,2,1,2,1,1,1,2
424,5,2,1,2,1,9,9,9,9,9
425,7,1,1,2,1,2,2,2,1,1
426,8,2,1,2,1,9,9,9,9,9
427,5,1,1,2,1,2,2,1,2,1
428,8,1,1,2,1,2,2,3,1,1
429,3,1,1,2,1,2,2,1,1,1
430,8,2,2,2,1,3,2,1,1,1
431,6,1,1,2,1,1,1,2,1,1
432,4,2,1,2,1,1,2,2,1,1
433,4,1,1,2,1,2,2,1,1,1
434,5,1,1,2,1,2,2,1,1,1
435,4,2,1,2,1,2,2,2,1,1
436,6,2,1,2,1,2,2,1,1,1
437,6,2,1,2,1,2,2,1,1,2
438,5,2,2,2,1,3,2,3,2,3
439,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
440,3,1,1,2,1,2,2,1,1,1
441,6,1,1,2,1,2,2,1,1,1
