,TMEM,P5_1,J2_1,J2_14,J1AB,T2,Q1_1,Q1_3,Q1_5,Q1_13
1159,4,2,1,2,2,9,9,9,9,9
1160,5,2,1,2,1,1,2,3,1,1
1161,6,2,1,2,1,2,2,1,1,1
1162,9,2,1,2,1,2,2,1,1,1
1163,4,2,1,2,1,1,2,1,2,1
1164,5,2,1,2,2,3,2,2,1,1
1165,9,2,1,2,1,3,2,2,2,1
1166,4,2,1,2,2,2,2,1,1,1
1167,5,2,1,2,2,9,9,9,9,9
1168,4,2,1,2,1,2,2,1,1,1
1169,6,2,1,2,2,2,2,1,3,1
1170,6,2,1,2,2,2,2,1,1,1
1171,5,2,1,2,2,2,2,2,1,1
1172,9,2,1,2,1,2,2,2,2,1
1173,4,2,1,2,1,9,9,9,9,9
1174,5,2,1,2,1,1,2,1,1,1
1175,10,2,1,2,1,3,2,2,1,1
1176,6,2,1,2,1,2,3,1,3,1
1177,4,2,1,2,2,2,2,1,1,1
1178,5,2,1,2,1,3,2,1,1,1
1179,4,2,1,2,1,1,2,1,1,1
1180,5,2,1,2,1,2,2,2,1,1
1181,6,2,1,2,1,2,2,1,3,1
1182,6,2,1,2,2,2,2,1,1,1
1183,4,2,1,2,2,2,2,1,3,1
1184,4,2,1,2,2,3,2,2,3,1
1185,3,2,1,2,1,3,2,1,1,1
1186,4,2,1,2,2,3,2,1,1,1
1187,3,2,1,2,2,3,2,3,1,1
1188,3,2,1,2,1,3,2,1,1,1
1189,5,2,1,2,1,2,2,1,1,1
1190,6,2,1,2,2,2,2,2,2,1
1191,4,2,1,2,2,2,2,1,1,1
1192,4,2,1,2,2,9,9,9,9,9
1193,5,2,1,2,1,2,2,2,1,1
1194,5,2,1,2,1,2,2,2,1,1
1195,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1196,5,2,1,2,1,1,2,1,1,1
1197,4,2,1,2,2,2,2,3,3,1
1198,4,2,1,2,2,9,9,9,9,9
1199,2,2,1,2,2,3,2,3,1,1
1200,3,2,1,2,2,2,2,1,3,1
1201,4,2,1,2,1,2,2,1,1,1
1202,2,2,1,2,2,1,2,1,1,1
1203,4,2,1,2,1,3,2,1,1,1
1204,2,2,1,2,2,1,3,1,1,1
1205,6,2,1,2,2,1,2,2,1,1
1206,7,2,1,2,2,2,2,1,1,1
1207,4,2,1,1,1,3,2,2,1,1
1208,4,2,1,2,2,2,2,2,1,1
1209,6,2,1,2,2,2,2,1,1,1
1210,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1211,5,2,1,2,2,2,2,1,3,1
1212,2,2,1,2,1,2,2,1,1,1
1213,3,2,1,2,1,3,2,1,3,3
1214,5,2,1,2,1,2,2,2,2,3
1215,4,2,1,2,2,2,2,1,1,1
1216,7,2,1,2,2,2,2,3,3,1
1217,4,2,1,2,2,3,2,1,1,1
1218,5,2,1,2,1,2,2,1,1,1
1219,3,2,1,2,1,2,2,2,2,1
1220,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1221,4,2,1,2,1,1,2,1,3,1
1222,3,2,1,2,1,2,2,1,2,1
1223,3,2,1,2,1,3,2,1,3,1
1224,4,2,1,2,1,1,2,1,1,1
1225,5,2,1,2,2,3,2,1,2,3
1226,9,2,1,2,2,2,2,1,1,1
1227,4,2,1,2,2,2,2,2,1,1
1228,2,2,1,2,1,2,2,1,1,1
1229,4,2,1,2,1,1,2,1,3,1
1230,12,2,1,2,1,1,2,1,1,1
1231,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1232,5,2,1,2,1,2,2,1,3,1
1233,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1234,4,2,1,2,1,3,2,1,1,1
1235,5,2,1,2,1,9,9,9,9,9
1236,4,2,1,2,1,2,2,2,1,1
1237,6,2,1,2,1,2,2,2,1,1
1238,5,2,1,2,1,1,2,1,1,1
1239,5,2,1,2,1,3,2,1,3,1
1240,4,2,1,2,1,2,2,1,1,1
1241,4,2,1,2,1,2,2,1,3,1
1242,4,2,1,2,1,1,2,2,1,1
1243,3,2,1,2,1,3,2,2,1,1
1244,4,2,1,2,1,3,2,1,1,1
1245,4,2,1,2,2,2,2,1,1,1
1246,5,2,1,2,1,1,2,1,3,1
1247,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1248,8,2,1,2,1,2,2,1,1,1
1249,5,2,1,2,1,1,2,2,1,1
1250,3,2,1,2,2,2,2,3,3,1
1251,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1252,5,2,1,2,1,2,2,1,1,1
1253,3,2,1,2,2,2,2,1,1,1
1254,4,2,1,2,1,3,2,2,2,1
1255,7,2,1,2,1,2,2,1,1,1
1256,6,2,1,2,1,3,2,2,1,1
1257,3,2,1,2,1,2,2,1,3,1
1258,10,2,1,2,1,3,2,1,1,1
1259,4,2,1,2,2,1,2,2,1,1
1260,4,2,1,2,1,3,2,1,2,1
1261,4,2,1,2,1,3,2,1,1,1
1262,3,2,1,2,2,3,2,1,1,1
1263,5,2,1,2,1,2,2,1,1,1
1264,3,2,1,2,2,2,2,2,2,1
1265,3,2,1,2,2,3,3,2,1,1
1266,6,2,1,2,1,3,2,1,1,1
1267,8,2,1,2,1,3,2,1,1,1
1268,9,2,1,2,1,2,2,1,1,1
1269,4,2,1,2,2,1,2,3,3,1
1270,7,2,1,2,1,3,2,2,2,1
1271,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1272,5,2,1,2,2,2,2,1,1,1
1273,5,2,1,2,1,2,2,2,2,1
1274,3,2,1,2,1,1,2,1,1,1
1275,3,2,1,2,2,9,9,9,9,9
1276,4,2,1,2,1,3,2,1,1,1
1277,3,2,1,2,1,2,2,2,3,2
1278,4,1,1,2,2,3,2,1,1,1
1279,5,2,1,1,1,2,2,2,2,1
1280,4,1,1,2,1,2,2,1,1,1
1281,4,2,1,2,2,3,2,1,1,1
1282,4,2,1,2,1,2,2,3,1,1
1283,2,2,1,2,2,3,2,1,1,1
1284,5,2,1,2,2,3,2,1,1,1
1285,6,2,1,2,2,9,9,9,9,9
1286,5,2,1,2,1,1,2,1,1,1
1287,4,2,1,2,1,3,2,2,1,1
1288,12,2,1,2,1,1,2,2,1,1
1289,5,2,1,2,1,3,2,1,1,1
1290,5,2,1,2,1,3,2,2,2,1
1291,4,2,1,2,2,2,2,1,1,1
1292,5,2,1,2,1,2,2,1,2,1
1293,5,2,1,2,1,3,2,2,2,1
1294,6,2,1,2,1,2,2,1,3,1
1295,4,2,1,2,1,3,2,2,3,1
1296,3,2,1,2,1,1,2,3,1,1
1297,3,2,1,2,1,3,2,1,3,1
1298,4,2,1,2,1,2,2,2,1,1
1299,4,2,1,2,2,2,2,1,3,3
1300,7,2,1,2,1,2,2,1,1,1
1301,5,2,1,2,1,2,1,2,1,1
1302,3,2,1,2,1,2,2,3,3,3
1303,2,2,1,2,2,2,2,1,1,1
1304,2,2,1,2,2,1,2,2,1,1
1305,4,2,1,2,1,3,2,2,1,1
1306,7,2,1,1,2,2,2,2,1,1
1307,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1308,9,2,1,2,2,2,2,2,1,1
1309,3,2,1,2,2,1,1,3,3,1
1310,7,2,1,2,1,2,2,1,1,1
1311,4,2,1,2,1,2,2,1,1,1
1312,4,2,1,2,1,1,2,2,3,1
1313,3,2,1,2,1,2,2,1,1,1
1314,4,2,1,2,2,9,9,9,9,9
1315,4,2,1,2,2,1,2,1,3,1
1316,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1317,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1318,5,2,1,2,1,2,2,2,2,1
1319,6,2,1,2,2,2,2,1,1,3
1320,9,2,1,2,1,2,2,2,1,1
1321,3,2,1,2,2,2,2,1,1,1
1322,4,2,1,2,1,2,2,1,1,1
1323,3,2,1,2,2,1,1,1,1,1
1324,4,2,1,2,1,9,9,9,9,9
1325,3,2,1,2,1,2,2,1,1,1
1326,3,2,1,2,2,2,2,2,1,1
1327,5,2,1,2,2,1,2,2,1,1
1328,4,2,1,2,1,2,2,1,1,1
1329,4,2,1,1,2,2,1,2,1,1
1330,9,2,1,2,1,2,2,1,1,1
1331,6,2,1,2,1,2,2,2,1,1
1332,4,2,1,2,1,2,2,1,1,1
1333,4,2,1,2,1,2,2,2,2,1
1334,7,2,1,2,1,1,2,1,3,1
1335,2,2,1,2,2,9,9,9,9,9
1336,4,2,1,1,1,1,2,1,3,1
1337,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1338,3,2,1,2,2,9,9,9,9,9
1339,4,2,1,2,2,2,2,1,1,2
1340,3,2,1,2,1,2,2,2,2,1
1341,10,2,1,2,2,2,2,2,2,1
1342,4,2,1,2,1,2,2,1,1,3
1343,4,2,1,2,1,2,2,2,2,2
1344,4,2,1,2,1,2,2,2,2,1
1345,4,2,1,2,2,3,2,2,1,1
1346,4,2,1,2,2,2,2,1,3,1
1347,5,2,1,2,2,2,2,2,1,1
1348,9,2,1,2,1,2,2,1,1,1
1349,4,2,1,2,2,2,2,2,1,1
1350,4,2,1,2,1,2,1,2,1,1
1351,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1352,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1353,10,2,1,2,2,2,2,1,1,1
1354,5,2,1,2,2,9,9,9,9,9
1355,4,2,1,1,1,3,2,3,1,1
1356,3,2,1,2,2,2,2,2,2,1
1357,5,2,1,2,2,2,2,1,1,1
1358,6,2,1,2,2,3,2,2,1,1
1359,3,2,1,2,2,2,2,1,1,1
1360,4,2,1,2,1,3,2,1,3,1
1361,5,2,1,2,1,2,2,2,2,1
1362,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1363,5,2,1,2,2,3,2,2,2,1
1364,6,2,1,2,1,3,2,1,1,1
1365,6,2,1,2,1,3,2,2,1,1
1366,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1367,8,2,1,2,1,1,2,2,1,1
1368,9,2,1,2,1,2,2,2,1,1
1369,5,2,1,2,1,2,2,2,1,1
1370,5,2,1,2,1,2,2,2,1,1
1371,11,2,1,2,1,1,2,1,1,1
1372,3,2,1,2,1,2,2,2,1,1
1373,4,2,1,2,1,2,3,2,1,1
1374,5,2,1,2,1,2,2,2,1,1
1375,3,2,1,2,1,2,2,2,1,1
1376,6,2,1,2,1,1,2,2,1,1
1377,5,2,1,2,1,2,9,9,9,9
1378,6,2,1,2,1,9,9,9,9,9
1379,5,2,1,2,1,2,2,2,1,1
1380,6,2,1,2,1,2,2,2,1,1
1381,6,2,1,2,1,2,2,1,1,1
1382,6,2,1,2,1,2,2,2,2,1
1383,9,2,1,2,1,3,3,2,1,1
1384,3,2,1,2,1,2,1,2,1,1
1385,4,2,1,2,1,2,9,9,9,9
1386,3,2,1,2,1,2,2,2,1,1
1387,9,2,1,2,1,2,2,1,1,1
1388,6,2,1,2,1,2,2,2,1,1
1389,11,2,1,2,1,2,1,1,1,1
1390,12,2,1,2,1,2,1,2,1,1
1391,7,2,1,2,1,1,2,2,1,1
1392,4,2,1,2,1,2,3,2,1,1
1393,5,2,1,2,1,3,2,1,1,1
1394,5,2,1,2,1,2,2,1,1,1
1395,8,2,1,2,1,2,2,3,1,1
1396,4,2,1,2,1,9,9,9,9,9
1397,7,2,1,2,1,2,2,2,1,1
1398,6,2,1,2,1,2,2,2,1,1
1399,6,2,1,2,1,2,2,2,1,1
1400,3,2,1,2,1,9,9,9,9,9
1401,5,2,1,2,1,2,2,2,1,1
1402,4,2,1,2,1,3,2,1,1,1
1403,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1404,3,2,2,2,1,2,2,2,1,1
1405,5,2,1,2,1,1,2,1,1,1
1406,4,2,1,2,1,2,2,2,1,1
1407,6,2,1,2,1,3,1,2,1,1
1408,4,2,1,2,1,9,9,9,9,9
1409,12,2,1,2,1,3,2,2,1,1
1410,9,2,1,2,1,3,1,1,1,1
1411,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1412,6,2,1,2,1,2,2,1,1,1
1413,7,2,1,2,1,2,1,2,1,1
1414,8,2,1,2,1,2,2,2,2,1
1415,5,2,1,2,1,3,2,1,1,1
1416,7,2,1,2,1,2,2,2,1,1
1417,4,2,1,2,1,1,2,1,1,1
1418,3,2,1,2,1,1,3,2,1,1
1419,8,2,1,2,1,1,2,2,1,1
1420,4,2,1,2,1,9,9,9,9,9
1421,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1422,8,2,1,2,1,2,2,2,1,1
1423,4,2,1,2,1,2,1,2,1,1
1424,4,2,1,2,1,1,2,1,1,1
1425,5,2,1,2,1,9,9,9,9,9
1426,8,2,1,2,1,2,2,2,1,1
1427,5,2,1,2,1,2,2,2,1,1
1428,5,2,1,2,1,2,3,2,3,1
1429,12,2,1,2,1,2,2,2,1,1
1430,3,2,1,2,1,3,2,1,1,1
1431,5,2,1,2,1,3,1,2,1,1
1432,5,2,1,2,1,3,2,1,1,1
1433,4,2,1,2,1,2,2,1,1,1
1434,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1435,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1436,10,2,1,2,1,3,3,2,1,1
1437,10,2,1,2,1,2,2,2,1,1
1438,3,2,1,2,1,2,1,2,1,1
1439,4,2,1,2,1,3,2,1,1,1
1440,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1441,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1442,4,2,1,2,1,2,2,2,1,1
1443,8,2,1,2,1,2,2,2,1,1
1444,3,2,1,2,1,2,2,2,1,1
1445,7,2,1,2,1,2,2,2,1,1
1446,6,2,1,2,1,2,2,2,1,1
1447,4,2,1,2,1,3,2,2,1,1
1448,6,2,1,2,1,2,1,1,1,1
1449,6,2,1,2,1,2,2,2,1,1
1450,12,2,1,2,1,2,2,2,1,1
1451,5,2,1,2,1,9,9,9,9,9
1452,6,2,1,2,1,9,9,9,9,9
1453,8,2,1,2,1,2,9,9,9,9
1454,8,2,1,2,1,2,2,2,1,1
1455,9,2,1,2,1,2,2,2,1,1
1456,6,2,1,2,1,2,2,1,1,1
1457,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1458,8,2,1,2,1,2,2,2,1,1
1459,8,2,1,2,1,2,2,2,1,2
1460,6,2,1,2,1,9,9,9,9,9
1461,6,2,1,2,1,2,9,9,9,9
1462,4,2,1,2,1,2,2,2,1,1
1463,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1464,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1465,8,2,1,2,1,2,3,2,1,1
1466,8,2,1,2,1,2,2,1,1,1
1467,7,2,1,2,1,2,2,2,1,1
1468,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1469,5,2,1,2,1,2,2,2,1,1
1470,7,2,2,2,1,2,2,2,1,1
1471,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1472,4,2,1,2,1,2,1,2,1,1
1473,4,2,1,2,1,2,2,2,1,1
1474,6,2,1,2,1,3,2,2,1,1
1475,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1476,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1477,7,2,1,2,2,2,2,2,1,1
1478,12,2,1,2,1,2,2,2,1,1
1479,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1480,6,2,1,2,1,2,2,2,1,1
1481,4,2,1,2,1,2,2,2,1,1
1482,11,2,1,2,1,2,3,2,1,1
1483,4,2,1,2,1,1,2,1,1,1
1484,10,2,1,2,1,2,2,2,2,1
1485,3,2,1,2,1,2,3,1,1,1
1486,5,2,1,2,1,2,2,2,1,1
1487,3,2,1,2,1,2,3,2,1,1
1488,4,2,1,2,1,3,2,2,1,1
1489,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1490,8,2,1,2,1,1,2,2,1,1
1491,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1492,7,2,1,2,1,2,2,1,1,1
1493,3,2,1,2,1,2,2,2,1,1
1494,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1495,4,2,1,2,1,2,2,1,1,1
1496,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1497,4,2,1,2,1,2,1,2,1,1
1498,8,2,1,2,1,2,3,2,1,1
1499,8,2,1,2,1,2,2,1,1,1
1500,5,2,1,2,1,3,2,2,1,1
1501,3,2,1,2,1,2,2,2,1,1
1502,6,2,1,2,1,2,2,1,1,1
1503,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1504,6,2,1,2,1,2,2,2,1,1
1505,4,2,1,2,1,3,2,1,1,1
1506,10,2,1,2,2,3,3,2,1,1
1507,6,2,1,2,1,9,9,9,9,9
1508,4,2,1,2,1,9,9,9,9,9
1509,7,2,1,2,1,2,2,1,1,1
1510,12,2,1,2,1,3,2,2,1,1
1511,8,2,1,2,1,2,2,2,1,1
1512,8,2,1,2,1,2,9,9,9,9
1513,6,2,1,2,1,9,9,9,9,9
1514,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1515,5,2,2,2,1,2,2,3,1,1
1516,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1517,4,2,1,2,1,2,2,2,1,1
1518,5,2,1,2,1,2,2,2,2,1
1519,6,2,1,2,1,2,2,2,1,1
1520,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1521,6,2,1,2,1,2,2,2,1,1
1522,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1523,6,2,1,2,1,2,2,2,2,1
1524,8,2,1,2,1,2,1,2,1,1
1525,5,2,1,2,2,3,2,1,1,1
1526,4,2,1,2,2,2,2,2,1,1
1527,8,2,1,2,1,2,3,2,2,1
1528,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1529,7,2,1,2,1,9,9,9,9,9
1530,6,2,1,2,1,2,2,2,1,1
1531,4,2,1,2,2,3,2,2,1,1
1532,8,2,1,2,1,2,2,2,2,1
1533,5,2,1,2,2,2,1,2,1,1
1534,7,2,1,2,1,2,3,2,1,1
1535,12,2,1,2,1,2,2,2,1,1
1536,5,2,1,2,1,3,2,2,1,1
1537,4,2,1,2,1,2,2,2,1,1
1538,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1539,10,2,1,2,1,2,2,2,1,1
1540,6,2,2,2,1,2,2,2,1,1
1541,6,2,1,2,2,3,2,2,2,1
1542,5,2,1,2,1,2,3,2,2,1
1543,4,2,1,2,1,2,2,2,1,1
1544,6,2,1,2,1,2,2,2,1,1
1545,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1546,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1547,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1548,8,2,1,2,1,2,2,2,1,1
1549,6,2,1,2,1,2,9,9,9,9
1550,11,2,1,2,1,2,2,2,1,1
1551,5,2,1,2,1,2,2,2,1,1
1552,4,2,1,2,1,2,2,1,1,1
1553,6,2,1,2,1,2,2,2,1,1
1554,7,2,1,2,1,3,2,2,1,1
1555,3,2,1,2,1,2,2,2,1,1
1556,9,2,1,2,1,3,2,1,1,1
1557,4,2,1,2,1,2,2,2,1,1
1558,8,2,1,2,1,2,2,1,1,1
1559,10,2,1,2,2,2,2,2,1,1
1560,4,2,1,2,1,1,2,2,2,1
1561,4,2,1,2,1,2,2,2,1,1
1562,7,2,1,2,1,2,2,2,1,1
1563,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1564,4,2,1,2,1,2,2,2,1,1
1565,6,2,1,2,1,2,1,2,1,1
1566,6,2,1,2,1,1,2,1,1,1
1567,5,2,1,2,1,9,9,9,9,9
1568,4,2,1,2,1,2,2,2,1,1
1569,4,2,1,2,1,3,2,2,1,1
1570,11,2,1,2,1,2,2,2,1,1
1571,7,2,1,2,1,2,2,2,1,1
1572,6,2,1,2,1,2,2,3,2,1
1573,5,2,1,2,1,2,2,2,1,1
1574,11,2,1,2,1,2,2,2,1,1
1575,4,2,1,2,1,2,2,2,1,1
1576,8,2,1,2,1,2,2,2,1,1
1577,10,2,1,2,1,2,2,2,1,1
1578,7,2,1,2,1,2,2,2,1,1
1579,5,2,1,2,1,2,3,1,1,1
1580,3,2,1,2,1,2,2,2,1,1
1581,3,2,1,2,1,2,2,1,1,1
1582,7,2,1,2,1,2,2,2,2,1
1583,8,2,1,2,1,2,1,1,1,1
1584,7,2,1,2,1,1,2,2,1,1
1585,8,2,1,2,1,3,1,2,1,1
1586,4,2,1,2,1,2,2,2,1,1
1587,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1588,11,2,1,2,1,2,2,1,1,1
1589,4,2,1,2,1,2,1,2,1,1
1590,4,2,1,2,1,9,9,9,9,9
1591,5,2,1,2,1,9,9,9,9,9
1592,7,2,1,2,1,3,2,1,1,1
1593,4,2,1,2,1,2,2,2,1,1
1594,5,2,1,2,1,2,2,1,1,1
1595,7,2,1,2,1,2,2,2,1,1
1596,4,2,1,2,1,2,2,2,3,1
1597,3,2,1,2,1,9,9,9,9,9
1598,6,2,1,2,1,3,2,2,1,1
1599,8,2,2,2,1,2,2,1,1,1
1600,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1601,7,2,1,2,1,2,2,2,1,1
1602,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1603,4,2,1,2,1,1,2,2,1,1
1604,5,2,1,2,1,2,2,2,2,1
1605,5,2,1,2,1,2,2,3,1,1
1606,3,2,1,2,2,9,9,9,9,9
1607,4,2,1,2,1,2,2,2,1,1
1608,3,2,1,2,1,2,2,2,1,1
1609,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1610,12,2,1,2,1,3,2,1,1,3
1611,5,2,1,2,1,1,2,2,1,1
1612,5,2,1,2,1,2,2,2,1,1
1613,11,2,1,2,1,2,2,2,1,1
1614,5,2,1,2,1,1,1,2,2,1
1615,5,2,1,2,1,3,2,2,1,1
1616,4,2,1,2,1,2,1,1,1,1
1617,5,2,2,2,1,9,9,9,9,9
1618,7,2,1,2,1,3,2,2,1,1
1619,3,2,1,2,1,9,9,9,9,9
1620,3,2,1,2,1,9,9,9,9,9
1621,9,2,1,2,1,2,2,1,1,1
1622,5,2,1,2,1,2,2,2,2,1
1623,7,2,1,2,1,3,2,2,1,1
1624,3,2,1,2,1,9,9,9,9,9
1625,9,2,1,2,1,1,2,2,1,1
1626,8,2,1,2,1,3,2,2,1,1
1627,8,2,1,2,1,2,2,1,1,1
1628,11,2,1,1,1,2,2,2,2,1
1629,4,2,1,2,1,2,2,1,1,1
1630,12,2,1,2,1,3,2,2,1,1
1631,6,2,1,2,1,1,2,2,1,1
1632,9,2,1,2,1,3,2,2,2,1
1633,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1634,6,2,1,2,1,3,2,2,2,1
1635,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1636,3,2,1,2,1,3,2,1,1,1
1637,6,2,1,2,1,1,2,2,1,1
1638,12,2,1,2,1,3,2,2,2,1
1639,5,2,1,2,1,2,2,2,3,1
1640,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1641,10,2,1,1,1,2,2,1,1,1
1642,5,2,1,2,1,2,2,3,2,1
1643,10,2,1,2,1,3,2,2,1,1
1644,7,2,1,2,1,9,9,9,9,9
1645,4,2,1,2,1,1,2,2,1,1
1646,6,2,1,2,1,3,2,2,1,1
1647,4,2,1,2,1,2,2,1,1,1
1648,6,2,1,2,1,9,9,9,9,9
1649,9,2,1,2,1,9,9,9,9,9
1650,6,2,1,2,1,2,2,2,1,1
1651,6,2,1,2,1,2,2,1,1,1
1652,4,2,1,2,1,9,9,9,9,9
1653,5,2,1,2,1,3,2,2,1,1
1654,5,2,1,2,1,2,2,1,1,1
1655,3,2,1,2,1,2,2,2,2,1
1656,6,2,1,2,1,3,2,2,1,2
1657,3,2,1,2,1,3,1,1,1,1
1658,7,2,1,2,1,9,9,9,9,9
1659,8,2,1,2,1,1,2,2,1,1
1660,6,2,1,2,1,3,2,2,1,1
1661,7,2,1,2,1,2,2,1,1,1
1662,4,2,1,2,1,9,9,9,9,9
1663,4,2,1,2,1,3,2,2,1,1
1664,5,2,1,2,1,1,2,1,1,1
1665,6,2,1,2,1,1,2,2,1,1
1666,5,2,1,2,1,1,2,2,2,1
1667,2,2,1,2,1,3,2,2,1,1
1668,6,2,1,2,1,9,9,9,9,9
1669,5,2,1,2,1,2,2,2,3,1
1670,5,2,1,2,1,2,2,1,1,1
1671,5,2,1,2,1,3,2,2,1,1
1672,5,2,1,2,1,9,9,9,9,9
1673,11,2,1,2,1,1,2,2,1,1
1674,12,2,1,2,1,3,2,2,2,1
1675,7,2,1,2,1,2,2,1,1,1
1676,6,2,1,2,1,3,2,2,2,1
1677,10,2,1,2,1,3,2,2,1,1
1678,12,2,1,2,1,2,2,1,1,2
1679,8,2,1,2,1,1,2,2,1,1
1680,5,2,1,2,1,1,2,1,1,1
1681,8,2,1,2,1,2,2,2,1,1
1682,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1683,5,2,1,2,1,2,3,2,2,1
1684,10,2,1,2,1,3,2,2,1,1
1685,9,2,1,2,1,2,2,1,1,1
1686,4,2,1,2,1,1,2,2,1,1
1687,12,2,1,2,1,3,2,2,1,1
1688,9,2,1,2,1,2,2,1,1,1
1689,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1690,7,2,1,2,1,2,2,2,2,1
1691,5,2,1,2,1,3,2,2,1,1
1692,9,2,1,2,1,2,2,1,1,1
1693,9,2,1,2,1,2,2,2,2,1
1694,12,2,1,2,1,1,2,2,1,1
1695,5,2,1,2,1,9,9,9,9,9
1696,3,2,1,2,2,9,9,9,9,9
1697,8,2,1,2,1,2,2,2,2,1
1698,5,2,1,2,1,3,2,2,2,1
1699,10,2,1,2,1,2,2,1,1,2
1700,6,2,1,2,1,1,2,2,1,1
1701,9,2,1,2,1,2,1,2,1,1
1702,3,2,1,2,1,2,2,2,1,1
1703,10,2,1,2,1,2,2,2,2,1
1704,8,2,1,2,1,3,2,2,1,1
1705,8,2,1,2,1,2,2,1,1,1
1706,8,2,1,2,1,3,2,2,2,1
1707,3,2,1,2,1,3,2,2,1,1
1708,7,2,1,2,1,2,2,1,1,1
1709,4,2,1,2,1,1,2,2,1,1
1710,3,2,1,2,1,3,2,2,1,1
1711,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1712,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
1713,8,2,1,2,1,3,2,2,1,1
1714,4,2,1,2,1,1,2,1,1,2
